"Source:","C:\Users\dwije\OneDrive\Desktop\ZodhyaTech\Design\Programmer\Programmer.kicad_sch"
"Date:","19-01-2024 16:30:34"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins","Sim.Type"
"1","7","C1, C3, C6, C8, C9, C11, C12","0.1uf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"2","2","C2, C5","4.7uf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"3","1","C10","10uf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"4","4","D1, D3, D4, D5","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","","",""
"5","1","D2","SP0503BAHT","Power_Protection:SP0503BAHT","Package_TO_SOT_SMD:SOT-143","http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf","","","","",""
"6","1","J2","Conn_02x03_Odd_Even","Connector_Generic:Conn_02x03_Odd_Even","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical_SMD","~","","","","",""
"7","1","J3","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","","","","",""
"8","2","Q1, Q2","SS8050","Simulation_SPICE:NPN","Package_TO_SOT_SMD:SOT-23","~","","","NPN","1=C 2=B 3=E","GUMMELPOON"
"9","4","R1, R2, R3, R12","2.2k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"10","1","R6","1K","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"11","2","R7, R8","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"12","2","R9, R13","0R","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"13","4","R10, R11, R14, R15","24E","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"14","1","U2","CP2102N-Axx-xQFN28","Interface_USB:CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","","",""
"15","1","U3","ADUM4160","Interface_USB:ADUM4160","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM4160.pdf","","","","",""
